word,pos_symbol,pos_word,meaning,sentiment score,sentiment,RESPONDENT BASIS,Respondent 1,Respondent 2,Respondent 3,Respondent 4,Respondent 5,Respondent 6,Respondent 7,Respondent 8,Respondent 9,Respondent 10,Respondent 11,Respondent 12,Respondent 13,Respondent 14,Respondent 15,Respondent 16,Respondent 17,Respondent 18,Respondent 19,Respondent 20,MODE,Comparison
sebuáno,NN,noun,"language spoken principally in agusan, bohol, bukidnon, cebu, davao, lanao del norte, the eastern half of leyte, misamis occidental, negros, oriental, surigao, zamboanga del norte, zamboanga del sur, and in some towns in cotabato.",0,Neutral,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,TRUE
sekretaŕya,NN,noun,secretary.,0,Neutral,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
seménto,NN,noun,"cement, concrete.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,TRUE
sentábos,NN,noun,"one centavo, one centavo coin.",0,Neutral,0,0,0,0,0,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,TRUE
sentimós,NN,noun,"centavo coin, one centavo, one cent.",0,Neutral,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,TRUE
seremonya,NN,noun,ceremony,0,Neutral,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,TRUE
seysénta,CD,numeral,sixty.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,TRUE
sibín,VB,verb,to wipe with a towel or wash cloth.,0,Neutral,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,TRUE
síd’ing,VB,verb,"to peep, to look in for a little while.",0,Neutral,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,TRUE
sígput,VB,verb,"to take up small particles, to collect the leavings.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,TRUE
síli,NN,noun,eel.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,TRUE
síndi,VB,verb,"to light, to put a match to.",0,Neutral,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
solang,NN,noun,( anatomy ) chin,0,Neutral,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,TRUE
subong,RB,adverb,now,0,Neutral,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,1,0,0,TRUE
suláy,VB,verb,"to tempt, to induce, to do otherwise.",0,Neutral,0,0,0,0,0,1,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,TRUE
sun-adan,NN,noun,fireplace,0,Neutral,0,0,0,0,-1,1,1,0,1,1,0,1,0,0,-1,0,0,0,-1,0,0,0,TRUE
súnlug,NN,noun,"teasing, joke.",0.226,Positive,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,1,1,1,0,1,1,1,1,1,TRUE
súpsup,VB,verb,"to sip in, to suck, to absorb.",-0.44,Negative,-1,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,1,-1,0,FALSE
supúg,JJ,adjective,"rabid, contagious, furious.",-0.727,Negative,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,-1,-1,-1,TRUE
syá,PRP,pronoun,"he, she, it (third person singular nominal pronoun).",0,Neutral,0,0,0,0,-1,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,1,0,TRUE
syápa,NN,noun,badge.,0,Neutral,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
tag’íya,NN,noun,"owner, possessor.",0,Neutral,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,TRUE
tahál,VB,verb,to sharpen a pencil.,0,Neutral,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,TRUE
tamád,JJ,adjective,"idle, lazy, indolent.",-0.361,Negative,-1,-1,-1,-1,0,0,-1,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,TRUE
tándug,VB,verb,"to touch, to move around.",0,Neutral,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,-1,0,0,0,0,TRUE
tapát,VB,verb,"to resolve, to tell the truth, to be frank.",0.599,Positive,1,1,1,1,1,-1,1,1,1,1,1,0,1,0,1,-1,1,1,1,1,1,1,TRUE
taya,VB,verb,to shield,0,Neutral,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,TRUE
telegráma,VB,verb,to send a telegram.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,TRUE
témpla,NN,noun,"flavor, mixture, consistency.",0,Neutral,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,TRUE
tíg’a,VB,verb,"to become hard, to solidify.",-0.103,Negative,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,TRUE
tíndak,VB,verb,to kick.,0,Neutral,0,0,0,0,0,1,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,TRUE
tíndug,NN,noun,"poise, stature.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,TRUE
tingála,VB,verb,"to wonder, to be astonished, to be surprised.",0.542,Positive,1,0,0,-1,-1,-1,-1,1,1,1,-1,0,-1,-1,-1,0,1,-1,1,1,1,-1,FALSE
tíyug,VB,verb,"to roam around, to turn around.",0,Neutral,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,TRUE
tódo,JJ,adjective,"full speed, fast, full blast.",0,Neutral,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,-1,0,0,0,TRUE
trayángulo,NN,noun,triangle.,0,Neutral,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,TRUE
trúsu,NN,noun,log.,0,Neutral,0,0,0,0,1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE
tsá,NN,noun,tea.,0,Neutral,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
túblag,VB,verb,to disturb.,-0.402,Negative,-1,-1,-1,-1,1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,TRUE
túhud,NN,noun,knee.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
túksu’,VB,verb,to ask to recite in class.,0,Neutral,0,0,0,0,0,0,0,0,0,-1,-1,0,1,0,0,0,0,0,0,0,0,0,TRUE
túluk,VB,verb,"to gaze at, to glimpse.",0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,TRUE
túna,VB,verb,"to give rise to, to be the cause of, to be the origin of.",0,Neutral,0,0,0,0,0,0,1,0,0,-1,0,1,0,0,0,0,0,1,0,0,0,0,TRUE
túnu,NN,noun,musical tune.,0,Neutral,0,0,0,0,-1,-1,-1,0,1,0,0,0,1,0,-1,0,0,0,0,0,-1,0,TRUE
tú’ig,NN,noun,year.,0,Neutral,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE
tyánggi,NN,noun,small corner store which carries a little bit of everything.,0,Neutral,0,0,0,0,-1,-1,0,0,0,1,0,0,0,0,-1,0,-1,0,0,0,0,0,TRUE
ugáli’,NN,noun,"conduct, habit, behavior.",0,Neutral,0,0,0,0,-1,1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,1,0,TRUE
únat,VB,verb,to stretch.,0,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,TRUE
úsu,NN,noun,"fashion, fad, vogue.",0.226,Positive,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,TRUE
útuk,NN,noun,brain.,0,Neutral,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,TRUE
uyapús,NN,noun,"boil, swollen area in the skin.",0,Neutral,0,0,0,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,TRUE
wasák,JJ,adjective,"destroyed, demolished.",-0.494,Negative,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,-1,1,-1,TRUE
wíli,VB,verb,"to be amused, to entertain.",0.625,Positive,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
yukút,JJ,adjective,"crumpled, wrinkled.",0,Neutral,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,TRUE
